Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Device,Sim.Type,Sim.Pins,KiLib_Generator
A1,1,MPU6050_Module,MPU6050_Module,,,,tht,,,,,
"BT1, BT2",2,Battery_Cell,Battery_LiPo_Custom,,,,tht,Single-cell battery,V,DC,1=+ 2=-,
BZ1,1,Buzzer,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,,,,tht,"Buzzer, polarized",,,,
BZ2,1,Buzzer,MagneticBuzzer_Kingstate_KCG0601,,,,tht,"Buzzer, polarized",,,,
BZ3,1,Haptic_Vibration,MagneticBuzzer_Kingstate_KCG0601,,,,tht,Vibration,,,,
"D1, D2",2,NeoPixel_THT,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,,,,smt,"RGB LED with integrated controller, 5mm/8mm LED package",,,,
J1,1,~,LD2420_custom,,,,tht,HLK LD2420,,,,
J2,1,SW_420,Vibration_sensor_SW420_custom,,,,tht,,,,,
J3,1,audio_sensor_custom,Audio_sensor_custom,,,,tht,,,,,
J5,1,OLED_128x64,OLED_128x64,,,,tht,,,,,
R1,1,LDR07,R_LDR_5.1x4.3mm_P3.4mm_Vertical,,,,tht,light dependent resistor,,,,
R2,1,R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,,,tht,Resistor,,,,resistor/THT
"SW1, SW2",2,SW_Slide_DPDT,SW_CK_JS202011CQN_DPDT_Straight,,,,tht,"Slide Switch, dual pole double throw",,,,
"SW3, SW4, SW5, SW6",4,SW_Push,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,,,,tht,"Push button switch, generic, two pins",,,,
"U1, U3",2,WEMOS_D1_mini,WEMOS_D1_mini_light,,,,tht,32-bit microcontroller module with WiFi,,,,
U2,1,DHT11,Aosong_DHT11_5.5x12.0_P2.54mm,,,,tht,"3.3V to 5.5V, temperature and humidity module, DHT11",,,,
